element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Re	3	"206.67947"	"0.00090"	"206.6806"	"0.0004"	"52"	"3.67e+07"		"4.909244"	"10.906158"	"5d4.(5D).6s"	"4D"	"5/2"	"5d4.6p"	"87964*"	"5/2"	6	6		"T9867"	"L20378"	
Re	3	"206.74440"	"0.00090"	"206.7447"	"0.0005"	"173"	"9.17e+07"		"4.933334"	"10.928389"	"5d4.6s"	"39790"	"3/2"	"5d4.6p"	"88143*"	"5/2"	4	6		"T9867"	"L20378"	
Re	3	"207.29818"	"0.00090"	"207.2977"	"0.0004"	"125"	"5.17e+07"		"5.097724"	"11.076789"	"5d4.6s"	"41115"	"7/2"	"5d4.6p"	"89340*"	"5/2"	8	6		"T9867"	"L20378"	
Re	3	"207.32797"	"0.00270"	"207.3249"	"0.0006"	"275"	"1.08e+08"		"4.933334"	"10.911614"	"5d4.6s"	"39790"	"3/2"	"5d4.6p"	"88008*"	"3/2"	4	4		"T9867"	"L20378"	
Re	3	""	""	"207.4822"	"0.0005"	""	"8.75e+07"		"4.520956"	"10.494706"	"5d4.6s"	"36463"	"5/2"	"5d4.6p"	"84645*"	"7/2"	6	8		"T9867"	""	
Re	3	""	""	"207.9045"	"0.0005"	""	"8.58e+07"		"5.742302"	"11.703919"	"5d4.(3H).6s"	"2H"	"9/2"	"5d4.6p"	"94398*"	"11/2"	10	12		"T9867"	""	
Re	3	""	""	"208.4877"	"0.0004"	""	"4.50e+07"		"5.828718"	"11.773660"	"5d4.6s"	"47011"	"9/2"	"5d4.6p"	"94960*"	"11/2"	10	12		"T9867"	""	
Re	3	""	""	"208.9660"	"0.0004"	""	"4.70e+07"		"5.075291"	"11.006629"	"5d4.6s"	"40934"	"9/2"	"5d4.6p"	"88774*"	"9/2"	10	10		"T9867"	""	
Re	3	""	""	"209.0000"	"0.0009"	""	"1.75e+08"		"3.823146"	"9.753518"	"5d4.6s"	"30835"	"1/2"	"5d4.6p"	"78667*"	"1/2"	2	2		"T9867"	""	
Re	3	""	""	"209.1053"	"0.0006"	""	"1.43e+08"		"4.732210"	"10.659596"	"5d4.(3H).6s"	"4H"	"11/2"	"5d4.6p"	"85975*"	"11/2"	12	12		"T9867"	""	
Re	3	""	""	"209.1927"	"0.0006"	""	"2.84e+08"		"6.621092"	"12.546003"	"5d4.(3H).6s"	"2H"	"11/2"	"5d4.6p"	"101190*"	"13/2"	12	14		"T9867"	""	
Re	3	""	""	"209.7514"	"0.0004"	""	"5.00e+07"		"4.294950"	"10.204079"	"5d4.(3H).6s"	"4H"	"7/2"	"5d4.6p"	"82301*"	"7/2"	8	8		"T9867"	""	
Re	3	""	""	"209.7727"	"0.0005"	""	"1.19e+08"		"4.909244"	"10.817774"	"5d4.(5D).6s"	"4D"	"5/2"	"5d4.6p"	"87251*"	"7/2"	6	8		"T9867"	""	
Re	3	""	""	"209.8661"	"0.0005"	""	"5.75e+07"		"4.317834"	"10.223735"	"5d4.6s"	"34825"	"3/2"	"5d4.6p"	"82459*"	"3/2"	4	4		"T9867"	""	
Re	3	""	""	"209.9816"	"0.0005"	""	"2.80e+07"		"4.258779"	"10.161431"	""	"34349"	"7/2"	"5d4.6p"	"81957*"	"9/2"	8	10		"T9867"	""	
Re	3	""	""	"210.7180"	"0.0009"	""	"1.20e+08"		"4.933334"	"10.815361"	"5d4.6s"	"39790"	"3/2"	"5d4.6p"	"87231*"	"1/2"	4	2		"T9867"	""	
Re	3	""	""	"211.1658"	"0.0005"	""	"4.83e+07"		"4.317834"	"10.187389"	"5d4.6s"	"34825"	"3/2"	"5d4.6p"	"82166*"	"5/2"	4	6		"T9867"	""	
Re	3	""	""	"211.2765"	"0.0005"	""	"1.08e+08"		"4.294950"	"10.161431"	"5d4.(3H).6s"	"4H"	"7/2"	"5d4.6p"	"81957*"	"9/2"	8	10		"T9867"	""	
Re	3	""	""	"211.9705"	"0.0004"	""	"5.13e+07"		"4.356803"	"10.204079"	"5d4.(3H).6s"	"4H"	"9/2"	"5d4.6p"	"82301*"	"7/2"	10	8		"T9867"	""	
Re	3	""	""	"212.4490"	"0.0005"	""	"4.00e+07"		"4.258779"	"10.092888"	""	"34349"	"7/2"	"5d4.6p"	"81404*"	"7/2"	8	8		"T9867"	""	
Re	3	""	""	"212.5819"	"0.0007"	""	"4.50e+07"		"3.823146"	"9.653607"	"5d4.6s"	"30835"	"1/2"	"5d4.(5D).6p"	"6P*"	"3/2"	2	4		"T9867"	""	
Re	3	""	""	"213.5156"	"0.0004"	""	"3.83e+07"		"4.804674"	"10.609640"	"5d4.6s"	"38752"	"7/2"	"5d4.6p"	"85572*"	"5/2"	8	6		"T9867"	""	
Re	3	""	""	"213.5281"	"0.0006"	""	"1.12e+08"		"4.356803"	"10.161431"	"5d4.(3H).6s"	"4H"	"9/2"	"5d4.6p"	"81957*"	"9/2"	10	10		"T9867"	""	
Re	3	""	""	"213.5719"	"0.0007"	""	"8.88e+07"		"6.324120"	"12.127557"	"5d4.6s"	"51007"	"5/2"	""	"97815*"	"7/2"	6	8		"T9867"	""	
Re	3	""	""	"213.7745"	"0.0005"	""	"5.00e+07"		"4.294950"	"10.092888"	"5d4.(3H).6s"	"4H"	"7/2"	"5d4.6p"	"81404*"	"7/2"	8	8		"T9867"	""	
Re	3	""	""	"213.8830"	"0.0005"	""	"5.83e+07"		"5.281794"	"11.076789"	""	"42600"	"5/2"	"5d4.6p"	"89340*"	"5/2"	6	6		"T9867"	""	
Re	3	""	""	"214.1791"	"0.0006"	""	"2.33e+07"		"4.872610"	"10.659596"	"5d4.(3H).6s"	"4H"	"13/2"	"5d4.6p"	"85975*"	"11/2"	14	12		"T9867"	""	
Re	3	""	""	"214.8190"	"0.0006"	""	"5.50e+07"		"6.260804"	"12.030553"	"5d4.(1I).6s"	"2I"	"13/2"	"5d4.(3H).6p"	"4H*"	"11/2"	14	12		"T9867"	""	
Re	3	""	""	"217.4328"	"0.0005"	""	"4.00e+07"		"4.909244"	"10.609640"	"5d4.(5D).6s"	"4D"	"5/2"	"5d4.6p"	"85572*"	"5/2"	6	6		"T9867"	""	
Re	3	""	""	"217.4622"	"0.0007"	""	"6.29e+07"		"6.260804"	"11.960432"	"5d4.(1I).6s"	"2I"	"13/2"	"5d4.6p"	"96467*"	"13/2"	14	14		"T9867"	""	
Re	3	""	""	"217.8290"	"0.0005"	""	"4.38e+07"		"4.804674"	"10.494706"	"5d4.6s"	"38752"	"7/2"	"5d4.6p"	"84645*"	"7/2"	8	8		"T9867"	""	
Re	3	""	""	"218.6169"	"0.0006"	""	"8.17e+07"		"5.611096"	"11.280622"	"5d4.(3G).6s"	"4G"	"11/2"	"5d4.6p"	"90984*"	"11/2"	12	12		"T9867"	""	
Re	3	""	""	"218.7363"	"0.0005"	""	"4.50e+07"		"4.520956"	"10.187389"	"5d4.6s"	"36463"	"5/2"	"5d4.6p"	"82166*"	"5/2"	6	6		"T9867"	""	
Re	3	""	""	"218.7907"	"0.0005"	""	"1.13e+07"		"3.975969"	"9.640991"	"5d5"	"32068"	"9/2"	"5d4.(5D).6p"	"6P*"	"7/2"	10	8		"T9867"	""	
Re	3	""	""	"220.8677"	"0.0006"	""	"1.10e+07"		"3.751200"	"9.362956"	"5d5"	"30255"	"7/2"	"5d4.6p"	"75517*"	"9/2"	8	10		"T9867"	""	
Re	3	""	""	"221.9754"	"0.0006"	""	"5.17e+07"		"4.317834"	"9.901588"	"5d4.6s"	"34825"	"3/2"	"5d4.6p"	"79861*"	"5/2"	4	6		"T9867"	""	
Re	3	""	""	"222.4464"	"0.0005"	""	"7.25e+07"		"4.520956"	"10.092888"	"5d4.6s"	"36463"	"5/2"	"5d4.6p"	"81404*"	"7/2"	6	8		"T9867"	""	
Re	3	""	""	"223.8257"	"0.0006"	""	"3.33e+07"		"4.933334"	"10.470934"	"5d4.6s"	"39790"	"3/2"	"5d4.6p"	"84453*"	"5/2"	4	6		"T9867"	""	
Re	3	""	""	"228.2202"	"0.0006"	""	"4.50e+07"		"4.792754"	"10.223735"	"5d4.6s"	"38656"	"3/2"	"5d4.6p"	"82459*"	"3/2"	4	4		"T9867"	""	
Re	3	""	""	"229.7580"	"0.0006"	""	"3.00e+07"		"4.792754"	"10.187389"	"5d4.6s"	"38656"	"3/2"	"5d4.6p"	"82166*"	"5/2"	4	6		"T9867"	""	
Re	3	""	""	"230.2668"	"0.0006"	""	"2.00e+07"		"4.804674"	"10.187389"	"5d4.6s"	"38752"	"7/2"	"5d4.6p"	"82166*"	"5/2"	8	6		"T9867"	""	
Re	3	""	""	"230.6741"	"0.0005"	""	"4.00e+07"		"5.097724"	"10.470934"	"5d4.6s"	"41115"	"7/2"	"5d4.6p"	"84453*"	"5/2"	8	6		"T9867"	""	
Re	3	""	""	"231.9317"	"0.0006"	""	"1.83e+07"		"5.936543"	"11.280622"	"5d4.(1I).6s"	"2I"	"11/2"	"5d4.6p"	"90984*"	"11/2"	12	12		"T9867"	""	
Re	3	""	""	"233.0224"	"0.0008"	""	"4.29e+07"		"5.611096"	"10.930162"	"5d4.(3G).6s"	"4G"	"11/2"	"5d4.6p"	"88157*"	"13/2"	12	14		"T9867"	""	
Re	3	""	""	"234.2057"	"0.0006"	""	"1.20e+07"		"4.070761"	"9.362956"	"5d5"	"32832"	"7/2"	"5d4.6p"	"75517*"	"9/2"	8	10		"T9867"	""	
