element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cl	2	""	"492.2154"	""	"1.4e+07"	D	"15.714374"	"18.232572"	"3s2.3p3.(2D*).4s"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3F"	"2"	5	5		"T1277,T1619CA,LS"	""	
Cl	2	""	"492.4246"	""	"1.6e+06"	E	"15.626167"	"18.143296"	"3s2.3p3.(2D*).3d"	"3F*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"2"	5	5		"T1619CA,LS"	""	
Cl	2	""	"492.4877"	""	"5.2e+07"	D	"17.094863"	"19.611669"	"3s2.3p3.(2P*).4s"	"3P*"	"2"	"3s2.3p3.(2P*).4p"	"3S"	"1"	5	3		"T1619CA,LS"	""	
Cl	2	""	"492.5165"	""	"1.5e+07"	E	"15.626167"	"18.142826"	"3s2.3p3.(2D*).3d"	"3F*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"1"	5	3		"T1619CA,LS"	""	
Cl	2	""	"493.1721"	""	"4.1e+05"	E	"15.719258"	"18.232572"	"3s2.3p3.(2D*).4s"	"3D*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"2"	7	5		"T1277,T1619CA,LS"	""	
Cl	2	""	"493.6918"	""	"1.2e+06"	E	"15.649377"	"18.160045"	"3s2.3p3.(2D*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3D"	"3"	7	7		"T1619CA,LS"	""	
Cl	2	""	"497.0075"	""	"1.3e+07"	E	"15.649377"	"18.143296"	"3s2.3p3.(2D*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3D"	"2"	7	5		"T1619CA,LS"	""	
Cl	1	""	"497.6619"	""	"3.5e+05"	D+	"9.2028320"	"11.6934712"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(1D).4p"	"2P*"	"3/2"	4	4		"T1277,T694"	""	
Cl	2	"499.548"	"499.5473"	"10000"	"1.3e+07"	E	"15.678806"	"18.160045"	"3s2.3p3.(2D*).3d"	"3F*"	"4"	"3s2.3p3.(2D*).4p"	"3D"	"3"	9	7		"T1619CA,LS"	"L1617"	
Cl	2	""	"506.8123"	""	"9.7e+06"	D	"15.714374"	"18.160045"	"3s2.3p3.(2D*).4s"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"3"	5	7		"T1619CA,LS"	""	
Cl	2	"507.826"	"507.8267"	"26000"	"7.7e+07"	D	"15.719258"	"18.160045"	"3s2.3p3.(2D*).4s"	"3D*"	"3"	"3s2.3p3.(2D*).4p"	"3D"	"3"	7	7		"T1619CA,LS"	"L1617"	
Cl	2	""	"509.8317"	""	"1.3e+07"	D	"15.712108"	"18.143296"	"3s2.3p3.(2D*).4s"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3D"	"2"	3	5		"T1619CA,LS"	""	
Cl	2	""	"509.9303"	""	"6.4e+07"	D	"15.712108"	"18.142826"	"3s2.3p3.(2D*).4s"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3D"	"1"	3	3		"T1619CA,LS"	""	
Cl	1	"509.9789"	"509.9789"	"30"	"8.5e+05"	D	"9.2821597"	"11.7126455"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(1D).4p"	"2P*"	"1/2"	2	2		"T694"	"L298"	
Cl	2	""	"510.3072"	""	"5.9e+07"	D	"15.714374"	"18.143296"	"3s2.3p3.(2D*).4s"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"2"	5	5		"T1619CA,LS"	""	
Cl	2	""	"510.4059"	""	"2.1e+07"	D	"15.714374"	"18.142826"	"3s2.3p3.(2D*).4s"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"1"	5	3		"T1619CA,LS"	""	
Cl	2	""	"511.3356"	""	"1.3e+07"	E	"15.719258"	"18.143296"	"3s2.3p3.(2D*).4s"	"3D*"	"3"	"3s2.3p3.(2D*).4p"	"3D"	"2"	7	5		"T1619CA,LS"	""	
Cl	1	""	"514.0342"	""	"2.5e+05"	D	"9.2821597"	"11.6934712"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(1D).4p"	"2P*"	"3/2"	2	4		"T694"	""	
Cl	2	""	"521.7740"	""	"7.7e+07"	D	"13.961781"	"16.337325"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).4p"	"3P"	"0"	3	1		"T1277,T694,T1619CA,LS"	""	
Cl	2	"521.794"	"521.7945"	"56000"	"7.7e+07"	C	"13.961781"	"16.337232"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).4p"	"3P"	"2"	3	5		"T1277,T694,T1619CA,LS"	"L1617"	
Cl	2	"522.136"	"522.1362"	"23000"	"7.7e+07"	C	"13.961781"	"16.335677"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).4p"	"3P"	"1"	3	3		"T1277,T694,T1619CA,LS"	"L1617"	
Cl	2	"539.212"	"539.2125"	"15000"	"1.0e+08"	D	"16.002264"	"18.300981"	"3s2.3p3.(2D*).4s"	"1D*"	"2"	"3s2.3p3.(2D*).4p"	"1F"	"3"	5	7		"T8043"	"L1617"	
Cl	2	"542.323"	"542.3257"	"99000"	"1.8e+07"	D	"13.675065"	"15.960588"	"3s2.3p3.(4S*).3d"	"5D*"	"4"	"3s2.3p3.(4S*).4p"	"5P"	"3"	9	7		"T1277LS"	"L1617"	
Cl	2	"542.351"	"542.3516"	"10000"	"3.7e+06"	D	"13.675174"	"15.960588"	"3s2.3p3.(4S*).3d"	"5D*"	"3"	"3s2.3p3.(4S*).4p"	"5P"	"3"	7	7		"T1277LS"	"L1617"	
Cl	2	""	"542.4352"	""	"5.6e+05"	E	"13.675527"	"15.960588"	"3s2.3p3.(4S*).3d"	"5D*"	"2"	"3s2.3p3.(4S*).4p"	"5P"	"3"	5	7		"T1277LS"	""	
Cl	2	"544.337"	"544.3375"	"19000"	"1.5e+07"	D	"13.675174"	"15.952250"	"3s2.3p3.(4S*).3d"	"5D*"	"3"	"3s2.3p3.(4S*).4p"	"5P"	"2"	7	5		"T1277LS"	"L1617"	
Cl	2	"544.421"	"544.4217"	"10000"	"9.5e+06"	D	"13.675527"	"15.952250"	"3s2.3p3.(4S*).3d"	"5D*"	"2"	"3s2.3p3.(4S*).4p"	"5P"	"2"	5	5		"T1277LS"	"L1617"	
Cl	2	""	"544.4976"	""	"2.4e+06"	D	"13.675844"	"15.952250"	"3s2.3p3.(4S*).3d"	"5D*"	"1"	"3s2.3p3.(4S*).4p"	"5P"	"2"	3	5		"T1277LS"	""	
Cl	2	""	"545.6275"	""	"8.4e+06"	D	"13.675527"	"15.947218"	"3s2.3p3.(4S*).3d"	"5D*"	"2"	"3s2.3p3.(4S*).4p"	"5P"	"1"	5	3		"T1277LS"	""	
