element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Tm	1	"510.7533"	"0.0005"	"510.7533+"	"400"	"1.63e+07"	B+	"2.4485073"	"4.8753084"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[7/2]*"	"9/2"	10	10		"T6708"	"L2006,L3475"	
Tm	1	"511.3970"	"0.0005"	"511.3970+"	"950"	"2.4e+05"	C+	"0.0000000"	"2.4237465"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"5/2"	8	6		"T6708"	"L2006,L3475"	
Tm	1	"512.4516"	"0.0005"	"512.4514+"	"18"	"4.7e+05"	B	"2.3545103"	"4.7732696"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"	12	10		"T6708"	"L2006"	
Tm	1	"512.7819"	"0.0005"	"512.7818+"	"53"	"1.39e+06"	C+	"2.4485073"	"4.8657083"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"9/2"	10	10		"T6708"	"L2006"	
Tm	1	"512.9210"	"0.0005"	"512.9209+"	"8"	"2.6e+05"	C+	"2.4491628"	"4.8657083"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"7/2"	"4f12.5d.6s.6p"	"*"	"9/2"	8	10		"T6708"	"L2006"	
Tm	1	"513.4282"	"0.0005"	"513.4283+"	"53"	"1.05e+06"	B	"2.4485073"	"4.8626646"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[11/2]*"	"9/2"	10	10		"T6708"	"L2006"	
Tm	1	"513.5503"	"0.0005"	"513.5502+"	"35"	"2.83e+05"	B+	"1.9326423"	"4.3462265"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"9/2"	12	10		"T6708"	"L2006"	
Tm	1	"513.5682"	"0.0005"	"513.5677+"	"26"	"7.9e+05"	B	"2.4491628"	"4.8626646"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"7/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[11/2]*"	"9/2"	8	10		"T6708"	"L2006"	
Tm	1	"514.2886"	"0.0005"	"514.2883+"	"790"	"1.08e+07"	B+	"2.4485073"	"4.8586274"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[5/2]*"	"7/2"	10	8		"T6708"	"L2006"	
Tm	1	"514.7705"	"0.0005"	"514.7704+"	"120"	"1.00e+06"	B	"2.1024008"	"4.5102641"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"7/2"	"4f12.5d.6s.6p"	"*"	"9/2"	8	10		"T6708"	"L2006"	
Tm	1	"515.0405"	"0.0005"	"515.0403+"	"13"	"2.7e+05"	C+	"2.4135586"	"4.8201598"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"13/2"	"4f12.5d.6s.6p"	"*"	"11/2"	14	12		"T6708"	"L2006"	
