element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Rb	2	"527.0513"	"0.0005"	"527.0514"	"200"	"1.4e+08"		"19.9862740"	"22.3380312"	"4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	"4p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	1	3		"T3743"	"L2590"	
Rb	2	"551.2549"	"0.0005"	"551.2542"	"500"	"2.6e+07"		"18.2049213"	"20.4534261"	"4p5.4d"	"3F*"	"3"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	7	5		"T3743"	"L2590"	
Rb	1	"553.44"	"0.03"	"553.44"	""	"3.27e+06"		"16.64489"	"18.88453"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5s.(1P).6s"	"2P*"	"1/2"	4	2		"T7580"	"L7245"	
Rb	2	"563.5987"	"0.0010"	"563.5988"	"5000c"	"3.8e+07"		"17.7870182"	"19.9862740"	"4p5.4d"	"3P*"	"1"	"4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	3	1		"T3743"	"L2590"	
Rb	2	"569.9149"	"0.0010"	"569.9147"	"3000u"	"4.4e+07"		"17.4334240"	"19.6083075"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	3		"T3743"	"L2590"	
Rb	1	"585.99"	"0.03"	"586.01"	""	"9.71e+06"		"16.64489"	"18.76005"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5s.6s"	"4P*"	"3/2"	4	4		"T7580"	"L7245"	
Rb	1	"611.91"	"0.04"	"611.87"	""	"2.97e+07"		"16.64489"	"18.67066"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5s.6s"	"4P*"	"5/2"	4	6		"T7580"	"L7245"	
Rb	2	"619.9080"	"0.0010"	"619.9080"	"1000c"	"2.2e+07"		"17.4334240"	"19.4329127"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	3	5		"T3743"	"L2590"	
Rb	1	"620.63092"	"0.00010"	"620.6310"	"75c"	"2.948e+06"		"1.55959103"	"3.5567504"	"4p6.5p"	"2P*"	"1/2"	"4p6.6d"	"2D"	"3/2"	2	4		"T7712"	"L7459"	
Rb	1	"629.83252"	"0.00010"	"629.8326"	"120c"	"3.712e+06"		"1.58904906"	"3.5570310"	"4p6.5p"	"2P*"	"3/2"	"4p6.6d"	"2D"	"5/2"	4	6		"T7712"	"L7459"	
Rb	1	"629.92245"	"0.00010"	"629.9224"	"5"	"6.30e+05"		"1.58904906"	"3.5567504"	"4p6.5p"	"2P*"	"3/2"	"4p6.6d"	"2D"	"3/2"	4	4		"T7712"	"L7459"	
Rb	2	"645.8332"	"0.0005"	"645.8330"	"10000"	"3.4e+07"		"17.2083100"	"19.1275357"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	1	3		"T3743"	"L2590"	
Rb	2	"660.7853"	"0.0005"	"660.7853"	"4"	"7.e+06"		"17.7325096"	"19.6083075"	"4p5.4d"	"3P*"	"0"	"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	1	3		"T3743"	"L2590"	
Rb	1	"682.24"	"0.05"	"682.22"	""	"1.07e+05"		"16.64489"	"18.46174"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.4d.(3D).5s"	"2D*"	"3/2"	4	4		"T7580"	"L7245"	
Rb	2	"731.6516"	"0.0010"	"731.6521"	"300c"	"1.5e+07"		"17.4334240"	"19.1275357"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	3		"T3743"	"L2590"	
Rb	2	"772.6078"	"0.0010"	"772.6079"	"50c"	"3.5e+07"		"17.8482533"	"19.4525611"	"4p5.4d"	"3P*"	"2"	"4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	5	7		"T3743"	"L2590"	
Rb	1	"780.0268"	"0.0010"	"780.0268"	"90000c"	"3.81e+07"		"0.0000000"	"1.58904906"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"3/2"	2	4		"T7227"	"L4740"	
Rb	2	"782.1863"	"0.0010"	"782.1876"	"75c"	"2.8e+07"		"17.8482533"	"19.4329127"	"4p5.4d"	"3P*"	"2"	"4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	5		"T3743"	"L2590"	
Rb	1	"794.7603"	"0.0010"	"794.7603"	"45000c"	"3.61e+07"		"0.0000000"	"1.55959103"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"1/2"	2	2		"T7227"	"L4740"	
