element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ta	1	"578.0706"	"578.069+"	"90"	"3.3e+05"	C+	"0.752449"	"2.896654"	"5d3.6s2"	"a 4P"	"3/2"	"5d3.6s.(5F).6p"	"z 4F*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"581.1104"	"581.110+"	"130"	"5.7e+05"	B	"0.491463"	"2.624449"	"5d3.6s2"	"a 4F"	"7/2"	"5d2.6s2.(3F).6p"	"z 4D*"	"5/2"	8	6		"T4976"	"L7593,L3475"	
Ta	1	"584.9678"	"584.965+"	"13"	"2.75e+05"	B	"1.325431"	"3.444358"	"5d3.6s2"	"a 2G"	"9/2"	"5d3.6s.(5F).6p"	"z 6D*"	"7/2"	10	8		"T4976"	"L7593,L3475"	
Ta	1	"587.7355"	"587.735+"	"240"	"2.33e+06"	B+	"1.655369"	"3.764312"	"5d4.(5D).6s"	"a 6D"	"9/2"	"5d3.6s.(5F).6p"	"z 6F*"	"11/2"	10	12		"T4976"	"L7593,L3475"	
Ta	1	"591.6511"	"591.651+"	"30"	"4.9e+05"	C+	"1.462038"	"3.557021"	"5d3.6s2"	"a 2P"	"1/2"	""	"286*"	"3/2"	2	4		"T4976"	"L7593,L3475"	
Ta	1	"593.0625"	"593.062+"	"15"	"1.09e+05"	C	"1.595177"	"3.685176"	"5d3.6s2"	"a 2D"	"5/2"	""	"297*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"593.9765"	"593.975+"	"130"	"1.60e+06"	B+	"1.209958"	"3.296744"	"5d4.(5D).6s"	"a 6D"	"1/2"	"5d2.6s2.(3P).6p"	"z 4P*?"	"3/2"	2	4		"T4976"	"L7593,L3475"	
Ta	1	"594.4024"	"594.403+"	"240"	"2.13e+06"	B+	"1.236843"	"3.322127"	"5d4.(5D).6s"	"a 6D"	"3/2"	"5d3.6s.(5F).6p"	"z 6D*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"599.7234"	"599.723+"	"190c"	"2.40e+06"	B+	"1.655369"	"3.722154"	"5d4.(5D).6s"	"a 6D"	"9/2"	""	"300*"	"9/2"	10	10		"T4976"	"L7593,L3475"	
Ta	1	"602.0720"	"602.072+"	"100"	"1.03e+06"	B	"1.209958"	"3.268681"	"5d4.(5D).6s"	"a 6D"	"1/2"	"5d3.6s.(5F).6p"	"y 4D*"	"3/2"	2	4		"T4976"	"L7593,L3475"	
Ta	1	"604.5390"	"604.538+"	"250"	"2.63e+06"	B+	"1.394032"	"3.444358"	"5d4.(5D).6s"	"a 6D"	"5/2"	"5d3.6s.(5F).6p"	"z 6D*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"604.7247"	"604.724+"	"100"	"9.0e+05"	B+	"1.516917"	"3.566610"	"5d4.(5D).6s"	"a 6D"	"7/2"	"5d3.6s.(5F).6p"	"z 6D*"	"9/2"	8	10		"T4976"	"L7593,L3475"	
Ta	1	"614.4561"	"614.453+"	"65"	"2.43e+05"	B+	"1.325431"	"3.342671"	"5d3.6s2"	"a 2G"	"9/2"	""	"269*"	"7/2"	10	8		"T4976"	"L7593,L3475"	
Ta	1	"624.9791"	"624.982+"	"40"	"3.5e+05"	C+	"1.595177"	"3.578433"	"5d3.6s2"	"a 2D"	"5/2"	""	"288*"	"5/2"	6	6		"T4976"	"L7593,L3475"	
Ta	1	"625.8734"	"625.872+"	"5"	"3.3e+05"	C	"2.135562"	"4.115996"	"5d3.6s2"	"a 2F"	"5/2"	"5d3.6s.(5P).6p"	"z 6P*"	"7/2"	6	8		"T4976"	"L7593"	
Ta	1	"628.791"	"628.792+"	"40"	"3.0e+05"	C+	"1.516917"	"3.488157"	"5d4.(5D).6s"	"a 6D"	"7/2"	"5d3.6s.(5F).6p"	"y 4D*"	"5/2"	8	6		"T4976"	"L182,L3475"	
Ta	1	"628.9336"	"628.931+"	"40"	"1.84e+05"	B	"1.325431"	"3.296235"	"5d3.6s2"	"a 2G"	"9/2"	"5d3.6s.(5F).6p"	"z 6F*"	"7/2"	10	8		"T4976"	"L7593,L3475"	
Ta	1	"630.9579"	"630.958+"	"150"	"1.83e+06"	B+	"1.357654"	"3.322127"	"5d3.6s2"	"a 2P"	"3/2"	"5d3.6s.(5F).6p"	"z 6D*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"632.5083"	"632.510+"	"75"	"3.4e+05"	C+	"0.750032"	"2.709683"	"5d3.6s2"	"a 4P"	"1/2"	"5d3.6s.(5F).6p"	"z 4F*"	"3/2"	2	4		"T4976"	"L7593,L3475"	
Ta	1	"633.2907"	"633.291+"	"50"	"1.38e+05"	C+	"0.752449"	"2.709683"	"5d3.6s2"	"a 4P"	"3/2"	"5d3.6s.(5F).6p"	"z 4F*"	"3/2"	4	4		"T4976"	"L7593,L3475"	
Ta	1	"634.602"	"634.598+"	"30"	"3.8e+05"	C+	"1.209958"	"3.163163"	"5d4.(5D).6s"	"a 6D"	"1/2"	"5d3.6s.(5F).6p"	"y 4D*"	"1/2"	2	2		"T4976"	"L7593,L3475"	
Ta	1	"636.0839"	"636.085+"	"65"	"4.63e+05"	B+	"1.394032"	"3.342671"	"5d4.(5D).6s"	"a 6D"	"5/2"	""	"269*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"638.9447"	"638.942+"	"90"	"1.17e+07"	C	"2.622679"	"4.562604"	"5d4.(3H).6s"	"a 4H"	"9/2"	"5d3.6s.(3H).6p"	"z 4G*?"	"7/2"	10	8		"T7871"	"L7593,L3475"	
Ta	1	"639.2209"	"639.217+"	"23h"	"2.10e+05"	B	"1.357654"	"3.296744"	"5d3.6s2"	"a 2P"	"3/2"	"5d2.6s2.(3P).6p"	"z 4P*?"	"3/2"	4	4		"T4976"	"L7593,L3475"	
Ta	1	"642.860"	"642.862+"	"65"	"6.0e+05"	B+	"1.394032"	"3.322127"	"5d4.(5D).6s"	"a 6D"	"5/2"	"5d3.6s.(5F).6p"	"z 6D*"	"5/2"	6	6		"T4976"	"L3475"	
Ta	1	"643.079"	"643.080+"	"250"	"2.88e+06"	B+	"1.516917"	"3.444358"	"5d4.(5D).6s"	"a 6D"	"7/2"	"5d3.6s.(5F).6p"	"z 6D*"	"7/2"	8	8		"T4976"	"L3475"	
