element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fr	1	"717.98660"	"0.00010"	"717.98664"	""	"4.78e+07"		"0.00000000"	"1.72635573"	"7s"	"2S"	"1/2"	"7p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"723.811"	"0.003"	"723.811"	""	"1.01e+05"		"2.037016"	"3.749481"	"6d"	"2D"	"5/2"	"11p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"728.5892"	"0.0004"	"728.5892"	""	"6.93e+06"		"1.72635573"	"3.4275894"	"7p"	"2P*"	"3/2"	"8d"	"2D"	"5/2"	4	6		"T6898"	"L12264"	
Fr	1	"730.9713"	"0.0004"	"730.9713"	""	"1.13e+06"		"1.72635573"	"3.4220453"	"7p"	"2P*"	"3/2"	"8d"	"2D"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"744.198"	"0.004"	"744.1976"	""	"2.75e+06"		"1.51724535"	"3.182798"	"7p"	"2P*"	"1/2"	"9s"	"2S"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"770.904"	"0.004"	"770.904"	""	"1.99e+04"		"2.012247"	"3.620102"	"6d"	"2D"	"3/2"	"10p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"778.947"	"0.004"	"778.947"	""	"1.95e+05"		"2.012247"	"3.603499"	"6d"	"2D"	"3/2"	"10p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"782.965"	"0.004"	"782.965"	""	"1.72e+05"		"2.037016"	"3.620102"	"6d"	"2D"	"5/2"	"10p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"790.171"	"0.004"	"790.171"	""	"6.55e+03"		"2.447446"	"4.016095"	"8s"	"2S"	"1/2"	"20p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"790.536"	"0.004"	"790.536"	""	"6.56e+03"		"2.447446"	"4.015371"	"8s"	"2S"	"1/2"	"20p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"794.265"	"0.004"	"794.265"	""	"7.98e+03"		"2.447446"	"4.008009"	"8s"	"2S"	"1/2"	"19p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"794.716"	"0.004"	"794.716"	""	"7.99e+03"		"2.447446"	"4.007123"	"8s"	"2S"	"1/2"	"19p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"799.362"	"0.004"	"799.362"	""	"9.92e+03"		"2.447446"	"3.998058"	"8s"	"2S"	"1/2"	"18p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"799.929"	"0.004"	"799.929"	""	"9.93e+03"		"2.447446"	"3.996959"	"8s"	"2S"	"1/2"	"18p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"805.826"	"0.004"	"805.826"	""	"1.29e+04"		"2.447446"	"3.985621"	"8s"	"2S"	"1/2"	"17p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"806.552"	"0.004"	"806.552"	""	"1.29e+04"		"2.447446"	"3.984236"	"8s"	"2S"	"1/2"	"17p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"814.203"	"0.004"	"814.203"	""	"1.70e+04"		"2.447446"	"3.969794"	"8s"	"2S"	"1/2"	"16p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"815.156"	"0.004"	"815.156"	""	"1.66e+04"		"2.447446"	"3.968015"	"8s"	"2S"	"1/2"	"16p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"816.9418"	"0.0002"	"816.94184"	""	"3.22e+07"		"0.00000000"	"1.51724535"	"7s"	"2S"	"1/2"	"7p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"825.355"	"0.004"	"825.355"	""	"2.28e+04"		"2.447446"	"3.949225"	"8s"	"2S"	"1/2"	"15p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"826.644"	"0.004"	"826.644"	""	"2.28e+04"		"2.447446"	"3.946883"	"8s"	"2S"	"1/2"	"15p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"832.645"	"0.002"	"832.6449"	""	"1.66e+07"		"1.51724535"	"3.005877"	"7p"	"2P*"	"1/2"	"7d"	"2D"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"840.705"	"0.004"	"840.705"	""	"3.18e+04"		"2.447446"	"3.921805"	"8s"	"2S"	"1/2"	"14p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"842.515"	"0.004"	"842.515"	""	"3.17e+04"		"2.447446"	"3.918638"	"8s"	"2S"	"1/2"	"14p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"851.047"	"0.004"	"851.047"	""	"3.66e+06"		"1.72635573"	"3.182798"	"7p"	"2P*"	"3/2"	"9s"	"2S"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"862.763"	"0.004"	"862.763"	""	"4.68e+04"		"2.447446"	"3.884110"	"8s"	"2S"	"1/2"	"13p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"865.433"	"0.004"	"865.433"	""	"4.66e+04"		"2.447446"	"3.879679"	"8s"	"2S"	"1/2"	"13p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"896.359"	"0.005"	"896.359"	""	"7.53e+04"		"2.447446"	"3.830264"	"8s"	"2S"	"1/2"	"12p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"897.715"	"0.005"	"897.715"	""	"3.85e+04"		"2.012247"	"3.392976"	"6d"	"2D"	"3/2"	"9p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
