element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
W	2	"330.18509"	"330.185122"	"0.000218"	"4"	"3.23e+06"	B	"1.81442642"	"5.56833604"	"5d4.(5D).6s"	"4D"	"3/2"	""	""	"3/2"	4	4		"T7162"	"L11762"	
W	1	"331.1388"	"331.1392"	"0.0008"	"200"	"5.6e+06"	B	"0.365913"	"4.109007"	"5d5.(6S).6s"	"7S"	"3"	""	"*"	"2"	7	5		"T4976"	"L153"	
W	1	"332.0364"	"332.0359"	"0.0008"	"40"	"4.8e+06"	B	"1.181329"	"4.914315"	"5d4.6s2"	"3P2"	"0"	""	"*"	"1"	1	3		"T6977"	"L153"	
W	2	"333.32627"	"333.32627"	"0.00033"	"4"	"1.74e+06"	B	"2.3545751"	"6.07311043"	""	""	"3/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"3/2"	4	4		"T7162"	"L11762"	
W	3	"333.656"	"333.6584"	"0.0004"	""	"3.2e+06"	C	"4.6828559"	"8.397690"	"5d3.(4F).6s"	"3F"	"4"	"5d3.(4F).6p"	"5F*"	"5"	9	11		"T7469"	"L14407"	
W	2	"333.86169"	"333.861674"	"0.000089"	"14"	"2.05e+06"	B	"1.85576387"	"5.56833604"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	2	"333.90231"	"333.902320"	"0.000067"	"16"	"1.10e+06"	B	"2.05232122"	"5.76444148"	"5d4.(3H).6s"	"4H"	"9/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	10	10		"T7162"	"L11762"	
W	2	"334.24623"	"334.246231"	"0.000022"	"60"	"5.80e+06"	B	"1.85576387"	"5.56406479"	""	""	"5/2"	"5d4.(5D).6p"	"6F*"	"7/2"	6	8		"T7162"	"L11762"	
W	2	"334.310068"	"334.310068"	"0.000011"	"102"	"6.07e+06"	B	"2.05684863"	"5.76444148"	""	""	"7/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	8	10		"T7162"	"L11762"	
W	2	"334.341576"	"334.341576"	"0.000011"	"150"	"4.81e+06"	B	"1.84205307"	"5.54929653"	""	""	"9/2"	""	""	"9/2"	10	10		"T7162"	"L11762"	
W	1	"334.5858"	"334.5859"	"0.0008"	"100"	"9.2e+06"	B	"1.655011"	"5.359547"	"5d4.6s2"	"3G"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	2	"335.06387"	"335.06403"	"0.00022"	"7"	"2.05e+06"	B	"2.53620688"	"6.23545720"	"5d4.(3F2).6s"	"4F"	"3/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	4	6		"T7162"	"L11762"	
W	2	"335.23922"	"335.23920"	"0.00022"	"4"	"6.29e+05"	B	"1.81442642"	"5.51174383"	"5d4.(5D).6s"	"4D"	"3/2"	"5d3.(4F).6s.(5F).6p"	"6F*"	"1/2"	4	2		"T7162"	"L11762"	
W	2	"336.11037"	"336.11037"	"0.00003"	"38"	"6.47e+06"	B	"1.09511870"	"4.78285325"	""	""	"1/2"	""	""	"1/2"	2	2		"T7162"	"L11762"	
W	1	"336.3336"	"336.3337"	"0.0008"	"80"	"6.6e+05"	C	"0.771099"	"4.456385"	"5d4.6s2"	"5D"	"4"	""	"*"	"3"	9	7		"T4976"	"L153"	
W	2	"336.37205"	"336.372038"	"0.000079"	"15"	"1.28e+06"	B	"1.81442642"	"5.49929234"	"5d4.(5D).6s"	"4D"	"3/2"	""	""	"5/2"	4	6		"T7162"	"L11762"	
W	1	"337.1044"	"337.1047"	"0.0008"	"40"	"1.0e+06"	B	"0.598844"	"4.275702"	"5d4.6s2"	"5D"	"3"	""	"*"	"2"	7	5		"T4976"	"L153"	
W	1	"337.1352"	"337.1350"	"0.0008"	"50"	"6.7e+05"	B	"0.207090"	"3.883617"	"5d4.6s2"	"5D"	"1"	""	"*"	"1"	3	3		"T4976"	"L153"	
W	2	"337.61403"	"337.614029"	"0.000570"	"156bl*"	"6.03e+06"	B	"1.87798580"	"5.54929653"	"5d4.(3H).6s"	"4H"	"7/2"	""	""	"9/2"	8	10		"T7162"	"L11762"	
W	1	"338.6090"	"338.6094"	"0.0008"	"80"	"2.64e+05"	B	"0.598844"	"4.259363"	"5d4.6s2"	"5D"	"3"	""	"*"	"3"	7	7		"T4976"	"L153"	
W	2	"340.18847"	"340.188450"	"0.000023"	"86"	"7.03e+06"	B	"1.85576387"	"5.49929234"	""	""	"5/2"	""	""	"5/2"	6	6		"T7162"	"L11762"	
W	1	"341.2956"	"341.2960"	"0.0008"	"80"	"9.7e+05"	B	"0.598844"	"4.230549"	"5d4.6s2"	"5D"	"3"	""	"*"	"4"	7	9		"T4976"	"L153"	
W	1	"341.4336"	"341.4342"	"0.0008"	"5"	"1.76e+04"	D	"0.771099"	"4.401334"	"5d4.6s2"	"5D"	"4"	""	"*"	"3"	9	7		"T4976"	"L153"	
W	2	"342.27599"	"342.276061"	"0.000352"	"4"	"4.39e+05"	B	"1.87798580"	"5.49929234"	"5d4.(3H).6s"	"4H"	"7/2"	""	""	"5/2"	8	6		"T7162"	"L11762"	
W	2	"344.05937"	"344.059363"	"0.000036"	"34"	"1.71e+06"	B	"2.16190404"	"5.76444148"	"5d4.(3H).6s"	"4H"	"11/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	12	10		"T7162"	"L11762"	
W	1	"344.8826"	"344.8833"	"0.0008"	"50"	"6.3e+06"	B	"1.916797"	"5.510728"	"5d4.6s2"	"3D"	"3"	""	"*"	"3"	7	7		"T6977"	"L153"	
W	2	"344.986386"	"344.986386"	"0.000012"	"106"	"1.20e+06"	B	"1.66286851"	"5.25572576"	"5d3.6s2"	"4F"	"7/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"7/2"	8	8		"T7162"	"L11762"	
W	2	"345.25006"	"345.250064"	"0.000024"	"81"	"8.32e+05"	B	"1.66561240"	"5.25572576"	""	""	"5/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"7/2"	6	8		"T7162"	"L11762"	
W	1	"345.9516"	"345.9522"	"0.0008"	"30"	"2.04e+05"	C	"0.771099"	"4.353926"	"5d4.6s2"	"5D"	"4"	""	"*"	"4"	9	9		"T4976"	"L153"	
W	2	"346.35128"	"346.351294"	"0.000024"	"54"	"5.93e+06"	B	"1.66561240"	"5.24431127"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	1	"346.8398"	"346.8400"	"0.0008"	"40"	"2.83e+06"	B	"1.708218"	"5.281874"	"5d4.6s2"	"3F2"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	2	"348.61244"	"348.61241"	"0.00005"	"29"	"3.83e+06"	B	"2.01284813"	"5.56833604"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	2	"349.03171"	"349.03172"	"0.00007"	"16"	"1.35e+06"	B	"2.01284813"	"5.56406479"	""	""	"5/2"	"5d4.(5D).6p"	"6F*"	"7/2"	6	8		"T7162"	"L11762"	
W	2	"349.09208"	"349.092115"	"0.000061"	"26"	"3.92e+06"	B	"1.66286851"	"5.21347082"	"5d3.6s2"	"4F"	"7/2"	"5d4.(5D).6p"	"6F*"	"5/2"	8	6		"T7162"	"L11762"	
W	2	"350.86638"	"350.866375"	"0.000037"	"44"	"2.32e+06"	B	"2.23179331"	"5.76444148"	""	""	"7/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	8	10		"T7162"	"L11762"	
W	1	"351.0025"	"351.0032"	"0.0009"	"200"	"5.2e+05"	B	"0.365913"	"3.897184"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5F*"	"4"	7	9		"T4976"	"L153"	
W	1	"352.1907"	"352.1910"	"0.0009"	"40"	"5.7e+06"	C	"1.655011"	"5.174373"	"5d4.6s2"	"3G"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	1	"352.6850"	"352.6854"	"0.0009"	"30"	"2.7e+06"	C	"1.655011"	"5.169439"	"5d4.6s2"	"3G"	"3"	""	"*"	"3"	7	7		"T6977"	"L153"	
W	2	"352.95501"	"352.955063"	"0.000087"	"19"	"2.26e+06"	B	"2.05232122"	"5.56406479"	"5d4.(3H).6s"	"4H"	"9/2"	"5d4.(5D).6p"	"6F*"	"7/2"	10	8		"T7162"	"L11762"	
W	1	"353.1126"	"353.1139"	"0.0009"	"6"	"3.18e+04"	D	"0.598844"	"4.109007"	"5d4.6s2"	"5D"	"3"	""	"*"	"2"	7	5		"T4976"	"L153"	
W	1	"353.5539"	"353.5545"	"0.0009"	"100"	"7.6e+06"	C	"1.649870"	"5.155660"	"5d4.6s2"	"3P2"	"1"	""	"*"	"2"	3	5		"T6977"	"L153"	
W	2	"354.44568"	"354.445688"	"0.000088"	"14"	"4.61e+05"	B	"2.05232122"	"5.54929653"	"5d4.(3H).6s"	"4H"	"9/2"	""	""	"9/2"	10	10		"T7162"	"L11762"	
W	1	"354.5220"	"354.5225"	"0.0009"	"200"	"3.2e+06"	B	"0.000000"	"3.496218"	"5d4.6s2"	"5D"	"0"	"5d4.6s.(6D).6p"	"5P*"	"1"	1	3		"T4976"	"L153"	
W	2	"354.64701"	"354.64683"	"0.00038"	"4"	"7.38e+05"	B	"2.3545751"	"5.84956717"	""	""	"3/2"	""	""	"3/2"	4	4		"T7162"	"L11762"	
W	2	"354.905184"	"354.905184"	"0.000013"	"93"	"2.44e+06"	B	"2.05684863"	"5.54929653"	""	""	"7/2"	""	""	"9/2"	8	10		"T7162"	"L11762"	
W	2	"355.10678"	"355.10688"	"0.00038"	"3"	"1.82e+05"	B	"2.74499292"	"6.23545720"	"5d4.(3F2).6s"	"4F"	"5/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	6	6		"T7162"	"L11762"	
W	1	"355.3303"	"355.3308"	"0.0009"	"2"	"1.1e+04"	D	"0.771099"	"4.259363"	"5d4.6s2"	"5D"	"4"	""	"*"	"3"	9	7		"T4976"	"L153"	
W	2	"355.51638"	"355.51635"	"0.00004"	"36"	"3.11e+06"	B	"2.01284813"	"5.49929234"	""	""	"5/2"	""	""	"5/2"	6	6		"T7162"	"L11762"	
W	2	"355.79150"	"355.79150"	"0.00013"	"10"	"1.71e+06"	B	"2.75170914"	"6.23545720"	""	""	"7/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	8	6		"T7162"	"L11762"	
W	2	"356.14419"	"356.14415"	"0.00025"	"4"	"1.04e+06"	B	"3.24325070"	"6.7235493"	"5d5"	"4G"	"9/2"	"5d4.(5D).6p"	"6F*"	"11/2"	10	12		"T7162"	"L11762"	
W	2	"357.247240"	"357.247253"	"0.000013"	"114"	"1.69e+07"	B	"1.31330076"	"4.78285325"	""	""	"3/2"	""	""	"1/2"	4	2		"T7162"	"L11762"	
W	1	"357.5968"	"357.5975"	"0.0009"	"60"	"6.2e+06"	C	"1.708218"	"5.174373"	"5d4.6s2"	"3F2"	"2"	""	"*"	"2"	5	5		"T6977"	"L153"	
W	2	"358.27561"	"358.27559"	"0.00026"	"4"	"4.23e+05"	B	"2.38997285"	"5.84956717"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	1	"358.2898"	"358.2905"	"0.0009"	"10"	"1.97e+04"	D	"0.771099"	"4.230549"	"5d4.6s2"	"5D"	"4"	""	"*"	"4"	9	9		"T4976"	"L153"	
W	2	"359.24194"	"359.242151"	"0.001937"	"81bl*"	"7.24e+06"	B	"1.40114840"	"4.85143473"	"5d3.6s2"	"4F"	"5/2"	"5d4.(5D).6p"	"6F*"	"3/2"	6	4		"T7162"	"L11762"	
W	1	"359.8874"	"359.8880"	"0.0009"	"40"	"9.7e+04"	C	"0.000000"	"3.444095"	"5d4.6s2"	"5D"	"0"	"5d4.6s.(6D).6p"	"5D*"	"1"	1	3		"T4976"	"L153"	
W	1	"360.6063"	"360.6070"	"0.0009"	"150"	"9.6e+05"	B	"0.207090"	"3.644317"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5P*"	"2"	3	5		"T4976"	"L153"	
W	2	"361.379023"	"361.379036"	"0.000013"	"133"	"1.15e+07"	B	"1.81442642"	"5.24431127"	"5d4.(5D).6s"	"4D"	"3/2"	""	""	"3/2"	4	4		"T7162"	"L11762"	
W	1	"361.7515"	"361.7522"	"0.0009"	"500"	"1.1e+07"	B	"0.365913"	"3.792260"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5P*"	"3"	7	7		"T4976"	"L153"	
W	1	"363.1943"	"363.1953"	"0.0009"	"200"	"1.3e+06"	B	"0.207090"	"3.619823"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5D*"	"2"	3	5		"T4976"	"L153"	
W	2	"364.14075"	"364.14078"	"0.00003"	"113"	"9.91e+06"	B	"1.08006032"	"4.48393267"	"5d3.6s2"	"4F"	"3/2"	""	""	"1/2"	4	2		"T7162"	"L11762"	
