element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Kr	1	"428.296734"	"428.29673+"	"100"	"1.77e+05"	C+	"9.91523229"	"12.80923809"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	5	3		"T3952n,T3378"	"L11281"	
Kr	1	"428.648687"	"428.64868+"	"40"	"1.00e+06"	C	"10.56241430"	"13.45404392"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4s2.4p5.(2P*<1/2>).6p"	"2[1/2]"	"1"	1	3		"T3952n,T3408,T7199"	"L11281"	
Kr	2	"429.29233"	"429.2923+"	"600"	"9.6e+07"	D	"14.2695909"	"17.1568850"	"4s2.4p4.(3P).5s"	"4P"	"3/2"	"4s2.4p4.(3P).5p"	"4D*"	"3/2"	4	4		"T3408"	"L605"	
Kr	1	"430.048652"	"430.04865+"	"50"	"5.33e+05"	C	"10.56241430"	"13.44463078"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	1	3		"T3952n,T3408,T7199"	"L11281"	
Kr	1	"431.85524"	"431.85519+"	"400"	"5.13e+05"	C	"9.91523229"	"12.78539212"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	5	5		"T3952n,T3378,T9012"	"L4054"	
Kr	1	"431.95795"	"431.95796+"	"1000"	"1.25e+06"	C	"9.91523229"	"12.78470926"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	5	7		"T3378n,T7199,T9012"	"L4054"	
Kr	1	"435.135969"	"435.13597+"	"100"	"2.22e+06"	C+	"10.64363486"	"13.49215500"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[1/2]"	"0"	3	1		"T3408n,T7199,T3378"	"L11281"	
Kr	2	"435.54773"	"435.5477+"	"3000"	"1.0e+08"	D	"13.988923"	"16.8347499"	"4s2.4p4.(3P).5s"	"4P"	"5/2"	"4s2.4p4.(3P).5p"	"4D*"	"7/2"	6	8		"T3408"	"L605"	
Kr	1	"436.264157"	"436.26416+"	"500"	"4.28e+05"	B	"9.91523229"	"12.75638623"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	5	3		"T3378n,T7199"	"L11281"	
Kr	1	"437.612159"	"437.61216+"	"800"	"3.74e+06"	C+	"10.03240062"	"12.86480297"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	3	1		"T3408n,T7199,T3378"	"L11281"	
Kr	1	"439.996634"	"439.99663+"	"200"	"1.26e+06"	C+	"10.64363486"	"13.46068780"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"2"	3	5		"T3408n,T7199,T3378"	"L11281"	
Kr	1	"441.03681"	"441.03682+"	"50"	"2.80e+05"	C+	"10.64363486"	"13.45404392"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[1/2]"	"1"	3	3		"T3408n,T7199,T3378"	"L11281"	
Kr	1	"442.519007"	"442.51901+"	"100"	"6.05e+05"	C+	"10.64363486"	"13.44463078"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	3	3		"T3408n,T7199,T3378"	"L11281"	
Kr	2	"443.16852"	"443.1685+"	"500"	"1.8e+08"	D	"14.5809157"	"17.3778065"	"4s2.4p4.(3P).5s"	"4P"	"1/2"	"4s2.4p4.(3P).5p"	"4D*"	"1/2"	2	2		"T3408"	"L605"	
Kr	2	"443.68122"	"443.6812+"	"600"	"6.6e+07"	D	"14.5809157"	"17.3745746"	"4s2.4p4.(3P).5s"	"4P"	"1/2"	"4s2.4p4.(3P).5p"	"2P*"	"3/2"	2	4		"T3408"	"L605"	
Kr	1	"445.391749"	"445.39175+"	"600"	"3.97e+05"	B	"10.03240062"	"12.81533065"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	3	5		"T3378n,T7199"	"L11281"	
Kr	1	"446.369000"	"446.36898+"	"800"	"1.181e+06"	B	"10.03240062"	"12.80923809"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	3	3		"T3378n,T7199"	"L11281"	
Kr	1	"450.235427"	"450.23543+"	"600"	"7.8e+05"	C	"10.03240062"	"12.78539212"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	3	5		"T3952n,T3378,T9012"	"L11281"	
Kr	1	"455.02985"	"455.02976+"	"40"	"7.3e+03"	D	"10.03240062"	"12.75638623"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	3	3		"T3952n,T3378"	"L7350"	
Kr	2	"457.72087"	"457.720+"	"800"	"9.6e+07"	D	"15.852807"	"18.560782"	"4s2.4p4.(1D).5s"	"2D"	"5/2"	"4s2.4p4.(1D).5p"	"2F*"	"7/2"	6	8		"T3408"	"L605"	
Kr	2	"458.29783"	"458.2839+"	"300hl"	"7.6e+07"	D	"16.8704343"	"19.575078"	"4s2.4p4.(3P).5p"	"4D*"	"5/2"	"4s2.4p4.(3P).6s"	"4P"	"3/2"	6	4		"T3408"	"L605"	
Kr	2	"461.52915"	"461.5292+"	"500"	"5.4e+07"	D	"14.6889484"	"17.3745746"	"4s2.4p4.(3P).5s"	"2P"	"3/2"	"4s2.4p4.(3P).5p"	"2P*"	"3/2"	4	4		"T3408"	"L605"	
Kr	2	"461.91658"	"461.9166+"	"1000"	"8.1e+07"	D	"14.6889484"	"17.3723222"	"4s2.4p4.(3P).5s"	"2P"	"3/2"	"4s2.4p4.(3P).5p"	"2D*"	"5/2"	4	6		"T3408"	"L605"	
Kr	2	"463.38850"	"463.388+"	"800"	"7.1e+07"	D	"15.820073"	"18.494926"	"4s2.4p4.(1D).5s"	"2D"	"3/2"	"4s2.4p4.(1D).5p"	"2F*"	"5/2"	4	6		"T3408"	"L605"	
Kr	2	"465.88761"	"465.8876+"	"2000"	"6.5e+07"	D	"13.988923"	"16.6494248"	"4s2.4p4.(3P).5s"	"4P"	"5/2"	"4s2.4p4.(3P).5p"	"4P*"	"3/2"	6	4		"T3408"	"L605"	
Kr	2	"473.90019"	"473.9002+"	"3000"	"7.6e+07"	D	"13.988923"	"16.6044423"	"4s2.4p4.(3P).5s"	"4P"	"5/2"	"4s2.4p4.(3P).5p"	"4P*"	"5/2"	6	6		"T3408"	"L605"	
Kr	2	"476.24353"	"476.2435+"	"300"	"4.2e+07"	D	"15.0023545"	"17.6050048"	"4s2.4p4.(3P).5s"	"2P"	"1/2"	"4s2.4p4.(3P).5p"	"2D*"	"3/2"	2	4		"T3408"	"L605"	
Kr	2	"476.57441"	"476.5744+"	"1000"	"6.7e+07"	D	"14.2695909"	"16.8704343"	"4s2.4p4.(3P).5s"	"4P"	"3/2"	"4s2.4p4.(3P).5p"	"4D*"	"5/2"	4	6		"T3408"	"L605"	
Kr	2	"481.177"	"481.1764+"	"300"	"1.7e+07"	D	"14.5809157"	"17.1568850"	"4s2.4p4.(3P).5s"	"4P"	"1/2"	"4s2.4p4.(3P).5p"	"4D*"	"3/2"	2	4		"T3408"	"L8549"	
Kr	2	"482.519"	"482.5185+"	"300"	"1.9e+07"	D	"15.0023545"	"17.5711590"	"4s2.4p4.(3P).5s"	"2P"	"1/2"	"4s2.4p4.(3P).5p"	"4S*"	"3/2"	2	4		"T3408"	"L8549"	
Kr	2	"483.20773"	"483.2077+"	"800"	"7.3e+07"	D	"14.2695909"	"16.8347312"	"4s2.4p4.(3P).5s"	"4P"	"3/2"	"4s2.4p4.(3P).5p"	"4P*"	"1/2"	4	2		"T3408"	"L605"	
Kr	2	"520.834"	"520.8333+"	"500"	"1.4e+07"	D	"14.2695909"	"16.6494248"	"4s2.4p4.(3P).5s"	"4P"	"3/2"	"4s2.4p4.(3P).5p"	"4P*"	"3/2"	4	4		"T3408"	"L8549"	
Kr	2	"530.868"	"530.8677+"	"200"	"2.4e+06"	D	"14.2695909"	"16.6044423"	"4s2.4p4.(3P).5s"	"4P"	"3/2"	"4s2.4p4.(3P).5p"	"4P*"	"5/2"	4	6		"T3408"	"L8549"	
Kr	1	"551.66665"	"551.66661+"	"20"	"1.54e+04"	C	"10.56241430"	"12.80923809"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	1	3		"T3952n,T3378"	"L11281"	
Kr	1	"556.222534"	"556.22253+"	"500"	"1.10e+05"	B	"9.91523229"	"12.14365295"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	5		"T7199"	"L11281"	
Kr	1	"557.028944"	"557.02893+"	"2000"	"9.80e+05"	B+	"9.91523229"	"12.14042693"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	5	3		"T7199"	"L11281"	
Kr	1	"558.038729"	"558.03872+"	"80"	"6.0e+05"	C	"10.64363486"	"12.86480297"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	3	1		"T3952n,T3408,T7199"	"L11281"	
Kr	1	"564.956177"	"564.95617+"	"100"	"1.29e+05"	C+	"10.56241430"	"12.75638623"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	1	3		"T3952n,T3378"	"L11281"	
Kr	1	"567.24509"	"567.24508+"	"50"	"1.5e+04"	C	"9.91523229"	"12.10035133"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	5	3		"T7199"	"L11281"	
Kr	1	"570.75129"	"570.75126+"	"40"	"2.59e+04"	D+	"10.64363486"	"12.81533065"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	3	5		"T3952n,T9012"	"L11281"	
Kr	1	"572.356"	"572.35699+"	"15"	"8.3e+03"	C	"10.64363486"	"12.80923809"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	3	3		"T3952n,T3378"	"L7408"	
Kr	1	"578.38938"	"578.38937+"	"10"	"2.94e+05"	D+	"11.44304735"	"13.58606436"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"	7	7		"T3774n,T3599,u41"	"L11281"	
Kr	1	"578.729"	"578.72957+"	"6"	"3.1e+03"	D+	"10.64363486"	"12.78539212"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	3	5		"T3952n,T3378,T9012"	"L7408"	
Kr	1	"578.824"	"578.82396+"	"7"	"2.07e+05"	D+	"11.44465635"	"13.58606436"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"	5	7		"T3774n,T3599,u41"	"L7408"	
Kr	1	"580.554126"	"580.55412+"	"20"	"9.0e+05"	D+	"11.44465635"	"13.57968262"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"	5	5		"T3774n,T3599,u41"	"L11281"	
Kr	1	"581.080"	"581.08125+"	"8"	"1.75e+05"	D+	"11.30345525"	"13.43654478"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"	3	3		"T3600n,u41"	"L7408"	
Kr	1	"582.707"	"582.70903+"	"20"	"7.8e+05"	C	"11.30345525"	"13.43058609"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"	3	5		"T3600n,u41"	"L7408"	
Kr	1	"586.675017"	"586.67501+"	"50"	"1.97e+05"	C+	"10.64363486"	"12.75638623"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	3	3		"T3952n,T3378"	"L11281"	
Kr	1	"587.091599"	"587.09157+"	"3000"	"7.1e+05"	C	"10.03240062"	"12.14365295"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	3	5		"T7199"	"L11281"	
Kr	1	"587.990035"	"587.99003+"	"50"	"5.5e+04"	C+	"10.03240062"	"12.14042693"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	3		"T7199"	"L11281"	
Kr	1	"599.385020"	"599.38502+"	"60"	"5.0e+04"	B+	"10.03240062"	"12.10035133"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	3		"T7199"	"L11281"	
Kr	1	"601.21555"	"601.21557+"	"50*"	"2.39e+06"	D+	"11.30345525"	"13.36510964"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).6d"	"2[3/2]*"	"2"	3	5		"T3774n,T3599,u41"	"L11281"	
