element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Li	1	"398.548"	"398.5481"	"0.0010"	"10"	"8.62e+05"	A	"1.847818"	"4.957835"	"1s2.2p"	"2P*"	"1/2"	"1s2.6s"	"2S"	"1/2"	2	2		"T5118LS"	"L7397"	
Li	1	"398.554"	"398.5535"	"0.0010"	"10"	"1.73e+06"	A	"1.847860"	"4.957835"	"1s2.2p"	"2P*"	"3/2"	"1s2.6s"	"2S"	"1/2"	4	2		"T5118LS"	"L7397"	
Li	1	"413.256"	"413.2557"	"0.0010"	"40"	"9.04e+06"	A	"1.847818"	"4.847154"	"1s2.2p"	"2P*"	"1/2"	"1s2.5d"	"2D"	"3/2"	2	4		"T5118LS"	"L7397"	
Li	1	"413.262"	"413.2613"	"0.0010"	"40*"	"1.09e+07"	A	"1.847860"	"4.847155"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"5/2"	4	6		"T5118LS"	"L7397"	
Li	1	"413.262"	"413.2615"	"0.0010"	"40*"	"1.81e+06"	A	"1.847860"	"4.847154"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"3/2"	4	4		"T5118LS"	"L7397"	
Li	2	"415.645"	"415.6447"	"0.0010"	""	"3.4105e+07"	AAA	"69.279628"	"72.261724"	"1s.3s"	"1S"	"0"	"1s.4p"	"1P*"	"1"	1	3		"T8636c73"	"L3501"	
Li	1	"427.307"	"427.3062"	"0.0010"	"20"	"1.58e+06"	A	"1.847818"	"4.748533"	"1s2.2p"	"2P*"	"1/2"	"1s2.5s"	"2S"	"1/2"	2	2		"T5118LS"	"L7397"	
Li	1	"427.313"	"427.3124"	"0.0010"	"20"	"3.17e+06"	A	"1.847860"	"4.748533"	"1s2.2p"	"2P*"	"3/2"	"1s2.5s"	"2S"	"1/2"	4	2		"T5118LS"	"L7397"	
Li	2	""	"432.206"	"0.010"	""	"1.402e+04"	AA	"69.369202"	"72.237031"	"1s.3p"	"3P*"	"1"	"1s.4d"	"1D"	"2"	3	5		"T8636c73"	""	
Li	2	""	"432.226"	"0.010"	""	"5.435e+03"	AA	"69.369335"	"72.237031"	"1s.3p"	"3P*"	"2"	"1s.4d"	"1D"	"2"	5	5		"T8636c73"	""	
Li	2	""	"432.5342"	"0.0010"	""	"8.0701e+07"	AAA	"69.369202"	"72.234857"	"1s.3p"	"3P*"	"1"	"1s.4d"	"3D"	"2"	3	5		"T8636c73"	""	
Li	2	"432.542"	"432.5415"	"0.0010"	"5*"	"4.4842e+07"	AAA	"69.369202"	"72.234808"	"1s.3p"	"3P*"	"1"	"1s.4d"	"3D"	"1"	3	3		"T8636c73"	"L3501"	
Li	2	"432.542"	"432.5419"	"0.0010"	"5*"	"1.0762e+08"	AAA	"69.369335"	"72.234938"	"1s.3p"	"3P*"	"2"	"1s.4d"	"3D"	"3"	5	7		"T8636c73"	"L3501"	
Li	2	"432.547"	"432.5542"	"0.0010"	"5"	"2.6901e+07"	AAA	"69.369335"	"72.234857"	"1s.3p"	"3P*"	"2"	"1s.4d"	"3D"	"2"	5	5		"T8636c73"	"L3501"	
Li	2	"432.554"	"432.5615"	"0.0010"	"1"	"2.9896e+06"	AAA	"69.369335"	"72.234808"	"1s.3p"	"3P*"	"2"	"1s.4d"	"3D"	"1"	5	3		"T8636c73"	"L3501"	
Li	2	""	"432.5784"	"0.0010"	""	"5.9789e+07"	AAA	"69.369447"	"72.234808"	"1s.3p"	"3P*"	"0"	"1s.4d"	"3D"	"1"	1	3		"T8636c73"	""	
Li	3	""	"449.8225056"	"0.0000023"	""	"1.0039e+08"	AA	"(114.8010096962)"	"(117.556528294)"	"4p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"	2	4		"T8637"	""	
Li	3	""	"449.8277799"	"0.0000023"	""	"5.9770e+07"	AA	"(114.801042400)"	"(117.5565286896)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"	2	4		"T8637"	""	
Li	3	""	"449.8581248"	"0.0000023"	""	"1.7432e+07"	AA	"(114.8010096962)"	"(117.5563101193)"	"4p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"	2	2		"T8637"	""	
Li	3	""	"449.8662020"	"0.0000023"	""	"5.9760e+07"	AA	"(114.801042400)"	"(117.5562933536)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"	2	2		"T8637"	""	
Li	3	""	"449.8846443"	"0.0000025"	""	"1.9551e+08"	AA	"(114.801468575)"	"(117.5566065829)"	"4d"	"2D"	"3/2"	"5f"	"2F*"	"5/2"	4	6		"T8637"	""	
Li	3	""	"449.8847465"	"0.0000023"	""	"1.2043e+08"	AA	"(114.8014693419)"	"(117.556606724)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"	4	6		"T8637"	""	
Li	3	""	"449.8973640"	"0.0000025"	""	"1.5274e+06"	AA	"(114.801468575)"	"(117.5565286896)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"3/2"	4	4		"T8637"	""	
Li	3	""	"449.8975539"	"0.0000023"	""	"2.0070e+07"	AA	"(114.8014693419)"	"(117.556528294)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"	4	4		"T8637"	""	
Li	3	""	"449.9032230"	"0.0000023"	""	"3.3246e+08"	AA	"(114.8016214842)"	"(117.5566457216)"	"4f"	"2F*"	"5/2"	"5g"	"2G"	"7/2"	6	8		"T8637"	""	
