element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ba	1	"259.66357"	"0.00010"	"259.66357+"	"120"	"1.2e+07"	E	"0.0000000"	"4.7733743"	"6s2"	"1S"	"0"	"5d.7p"	"1P*"	"1"	1	3		"T4515"	"L9224"	
Ba	2	"263.47799"	"0.00010"	"263.47799+"	"381"	"7.3e+07"	C	"2.7217512"	"7.4260246"	"6p"	"2P*"	"3/2"	"7d"	"2D"	"5/2"	4	6		"T3225,T7387"	"L9224"	
Ba	2	"264.13710"	"0.00010"	"264.13711+"	"41"	"1.2e+07"	C	"2.7217512"	"7.4142866"	"6p"	"2P*"	"3/2"	"7d"	"2D"	"3/2"	4	4		"T3225,T7387"	"L9224"	
Ba	1	"264.650"	"0.005"	"264.6446+"	"1h"	"1.1e+06"	E	"0.0000000"	"4.683538"	"6s2"	"1S"	"0"	"6s.9p"	"1P*"	"1"	1	3		"T4515"	"L7361"	
Ba	2	"264.72608"	"0.00010"	"264.72608+"	"64"	"2.26e+07"	B	"2.5121134"	"7.1942093"	"6p"	"2P*"	"1/2"	"8s"	"2S"	"1/2"	2	2		"T3225,T7387"	"L9224"	
Ba	1	"270.26331"	"0.00010"	"270.26331+"	"78"	"2.5e+06"	E	"0.0000000"	"4.5861731"	"6s2"	"1S"	"0"	"5d.7p"	"3P*"	"1"	1	3		"T4515"	"L9224"	
Ba	1	"273.92363"	"0.00010"	"273.92359+"	"39"	"9.1e+05"	E	"0.0000000"	"4.5248941"	"6s2"	"1S"	"0"	"5d.7p"	"3D*"	"1"	1	3		"T4515"	"L9224"	
Ba	2	"277.13528"	"0.00010"	"277.13530+"	"77"	"3.95e+07"	B	"2.7217512"	"7.1942093"	"6p"	"2P*"	"3/2"	"8s"	"2S"	"1/2"	4	2		"T3225,T7387"	"L9224"	
Ba	1	"278.52784"	"0.00010"	"278.52784+"	"95"	"2.8e+06"	E	"0.0000000"	"4.4500985"	"6s2"	"1S"	"0"	"6s.8p"	"1P*"	"1"	1	3		"T4515"	"L9224"	
Ba	1	"307.15841"	"0.00010"	"307.15842+"	"168"	"4.2e+07"	C	"0.0000000"	"4.0353178"	"6s2"	"1S"	"0"	"6s.7p"	"1P*"	"1"	1	3		"T4784"	"L9224"	
Ba	1	"350.11075"	"0.00010"	"350.11076+"	"860"	"3.5e+07"	B	"0.0000000"	"3.5402722"	"6s2"	"1S"	"0"	"5d.6p"	"1P*"	"1"	1	3		"T5037"	"L9224"	
Ba	2	"355.245"	"0.010"	"355.2446+"	""	"3.9e+05"	C	"5.6970085"	"9.186119"	"6d"	"2D"	"3/2"	"9f"	"2F*"	"5/2"	4	6		"T3225,T7387"	"L6094"	
Ba	2	"357.628"	"0.010"	"357.6275+"	""	"4.1e+05"	C	"5.7224717"	"9.188335"	"6d"	"2D"	"5/2"	"9f"	"2F*"	"7/2"	6	8		"T3225,T7387"	"L6094"	
Ba	2	"381.669"	"0.010"	"381.6687+"	""	"2.3e+05"	E	"5.6970085"	"8.944564"	"6d"	"2D"	"3/2"	"8f"	"2F*"	"5/2"	4	6		"T4515"	"L6094"	
Ba	2	"384.280"	"0.010"	"384.2796+"	""	"2.2e+05"	E	"5.7224717"	"8.947963"	"6d"	"2D"	"5/2"	"8f"	"2F*"	"7/2"	6	8		"T4515"	"L6094"	
Ba	1	"388.93263"	"0.00010"	"388.93263+"	"165"	"1.10e+06"	C+	"0.0000000"	"3.1869035"	"6s2"	"1S"	"0"	"5d.6p"	"3P*"	"1"	1	3		"T5495"	"L9224"	
Ba	2	"389.17790"	"0.00010"	"389.17790+"	"500"	"2.17e+08"	B	"2.5121134"	"5.6970085"	"6p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"	2	4		"T3225,T7387"	"L9224"	
Ba	1	"390.99092"	"0.00010"	"390.99092+"	"272"	"4.9e+07"	E	"1.1200690"	"4.2901961"	"6s.5d"	"3D"	"1"	"6s.4f"	"3F*"	"2"	3	5		"T4515"	"L9224"	
Ba	1	"393.57167"	"0.00010"	"393.57167+"	"423"	"4.7e+07"	E	"1.1425765"	"4.2919167"	"6s.5d"	"3D"	"2"	"6s.4f"	"3F*"	"3"	5	7		"T4515"	"L9224"	
